Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,106232,1732340475|28800|0,1975,1614,237,603,607,628,597,96,50,14,28,99,87,61,1227,36,32,28,99,352,293,344,298,131,257,68,59,37,83,42,0,0,20575252,18518801,10930408,13202564,3776,4099329,720000,3909,198,120,3018,992,2822,783,487,169,733,455,1287
,106432,1732432171|28800|0,1980,1601,229,600,608,627,596,96,49,15,31,98,86,62,1225,35,31,28,99,390,301,337,299,142,259,64,58,35,80,41,0,0,20086377,19317699,10543994,13137245,3718,4231615,720000,4046,198,118,3328,1012,3001,794,489,170,728,454,1672
,106633,1732562371|28800|0,1975,1564,234,598,606,626,593,95,59,15,29,98,86,42,1177,34,30,27,99,359,292,349,298,164,274,65,56,31,79,32,0,0,18406401,17908010,9563067,12001771,3534,5651973,720000,3949,199,118,2990,958,2605,758,482,178,724,435,1299
,106833,1732675242|28800|0,1977,1583,240,596,605,626,593,97,55,15,30,98,86,50,1202,33,30,27,99,368,295,345,303,163,260,63,56,35,79,36,0,0,21095352,18201785,10524209,12201300,3111,5012596,720000,3684,199,118,3457,993,2792,766,511,173,730,445,826
,107033,1732788526|28800|0,1978,1617,226,608,616,637,604,95,60,14,30,101,89,37,1254,40,34,26,99,374,295,370,298,136,260,69,60,31,85,32,0,0,22921935,20526689,11129079,12563014,22809,3681655,720000,4342,199,116,3493,1021,2864,797,507,168,737,466,1106
,107234,1732887811|28800|0,1976,1567,235,601,606,632,594,97,53,14,32,99,87,56,1207,36,30,28,99,381,297,351,298,167,268,66,56,37,79,41,0,0,17171349,17480559,12757536,13904729,2944,4742216,720000,3626,199,119,3399,966,2822,817,474,173,734,448,2558
,107434,1732972107|28800|0,1976,1533,236,604,607,627,595,96,49,14,32,100,88,63,1155,38,31,26,98,370,296,361,295,230,286,64,55,37,79,41,0,0,17525629,16765649,10616724,11932542,8708,6205291,720000,4145,199,118,3253,911,2734,759,500,182,730,427,1065
,107635,1733061824|28800|0,1976,1584,229,600,600,626,593,96,49,14,29,98,86,58,1210,36,30,26,98,403,297,362,298,149,256,65,56,32,79,39,0,0,19130318,16951008,11305407,12557354,1732,4895810,720000,4444,199,116,3021,946,2778,784,496,172,727,449,2315
,107835,1733143600|28800|0,1974,1610,222,603,607,631,593,94,48,14,32,99,87,63,1249,40,32,28,98,372,299,354,297,222,279,67,58,38,81,46,0,0,20369539,18040713,12045949,13661975,4717,3898150,720000,4557,203,115,3064,985,2857,820,486,167,723,465,1509
,108036,1733264045|28800|0,1981,1593,226,603,605,630,592,97,56,15,33,99,86,0,1262,36,29,24,98,358,300,362,296,154,254,67,57,28,82,31,0,0,19402696,19586519,12548552,14462222,1886,4377611,720000,4303,198,119,3167,987,2826,844,476,168,731,471,1540
,108237,1733414645|28800|0,1975,1546,226,601,608,625,593,98,61,14,32,98,87,33,1176,39,32,24,98,355,306,336,298,123,264,65,56,28,81,27,0,0,18562202,16044272,10776004,12225089,2260,5506841,720000,3694,198,122,2921,931,2754,762,516,178,729,436,6708
,108437,1733514588|28800|0,1976,1579,231,606,609,632,596,98,50,13,31,100,88,58,1234,37,30,25,98,383,297,342,298,119,255,66,57,35,81,38,0,0,18750883,18498104,11314085,13396111,4750,5153211,720000,4111,198,116,3138,968,2811,809,493,174,753,460,1452
,108638,1733613595|28800|0,1973,1557,227,601,606,626,593,97,55,14,30,99,87,53,1197,35,30,26,98,398,300,344,297,137,259,64,56,34,79,37,0,0,18679312,17319706,11379732,12723150,2912,5655566,720000,4160,199,120,3737,935,2780,784,495,177,732,444,1534
,108838,1733693311|28800|0,1976,1623,221,596,607,624,591,96,47,15,31,99,86,67,1312,33,29,27,98,395,300,343,298,107,248,65,58,39,80,47,0,0,21236167,19688348,12321899,13668757,1387,3382961,720000,4380,199,114,3526,1047,2705,864,473,163,732,491,466
,109039,1733806347|28800|0,1978,1614,223,605,614,627,597,94,61,14,21,100,89,0,1277,39,33,25,98,385,299,349,297,135,256,69,60,30,84,33,0,0,20384542,19824524,10898904,13965609,10505,3709277,720000,4504,199,117,3057,997,2851,814,500,166,732,476,1653
,109240,1733927421|28800|0,1977,1584,222,608,614,628,597,96,56,14,31,100,88,40,1259,37,31,24,98,394,296,327,302,135,265,69,59,28,83,30,0,0,21051370,18348667,11591144,13419216,4839,4555416,720000,4342,199,121,2891,1004,2843,827,558,170,725,470,1840
,109440,1734011316|28800|0,1977,1574,221,607,616,625,601,96,47,14,31,99,87,66,1233,35,30,27,98,408,300,338,300,230,294,65,56,38,80,45,0,0,18237328,18825797,11318103,12646472,5785,4917866,720000,3937,198,115,3328,998,2950,798,506,175,727,459,689
,109641,1734493487|28800|0,1977,1578,213,610,609,632,600,94,63,14,19,100,87,29,1193,37,31,26,98,378,295,325,293,202,293,72,57,28,89,28,0,0,16728412,16486500,12324815,13379900,38171,3743452,720000,3730,199,124,3185,909,2760,783,534,153,745,442,5151
,109841,1734596073|28800|0,1977,1588,217,610,608,623,596,93,58,14,32,101,88,46,1218,36,32,25,99,393,297,352,295,112,115,75,65,31,92,35,0,0,19921698,19483872,11293140,12946908,9029,1309,720000,3842,199,117,3480,1009,2912,801,264,90,716,452,838
,110042,1734683978|28800|0,1978,1611,224,612,613,628,601,92,50,14,32,101,89,63,1261,38,32,30,99,370,298,342,297,162,153,75,67,44,92,51,0,0,19041691,21605382,13074090,14417767,13588,792,720000,4519,199,116,3582,1023,2854,870,245,90,712,470,1374
,110243,1734841633|28800|0,1978,1587,228,605,607,626,594,92,59,14,31,102,89,41,1224,36,30,24,99,411,296,342,296,160,141,74,63,29,92,32,0,0,19497508,19136489,13394737,15863318,14382,2665,720000,3854,202,122,3465,985,2873,849,402,89,719,455,4139
,110443,1734919332|28800|0,1979,1589,246,597,605,612,587,92,48,15,32,99,86,63,1222,34,29,27,98,377,301,333,295,168,151,73,65,35,92,55,0,0,20623368,19975025,12194255,13664393,1195,733,720000,4252,198,114,3058,1007,2809,830,232,86,722,454,545
,110643,1735036608|28800|0,1978,1562,238,601,606,619,592,97,55,14,32,100,88,48,1162,38,31,27,98,378,301,319,297,143,126,75,64,33,92,35,0,0,19620748,18963675,11689334,12510420,4889,1211,720000,4184,198,118,3079,941,2783,777,256,89,757,429,1150
,110844,1735161561|28800|0,1977,1572,246,607,611,627,593,95,58,15,31,100,88,37,1171,36,31,23,99,390,297,336,298,108,97,73,63,29,92,30,0,0,20893203,18510878,11175167,12718787,6629,2239,720000,4297,198,116,3297,949,2848,775,258,87,715,432,1947
,111044,1735247888|28800|0,1979,1598,249,593,599,614,583,96,51,15,31,99,86,60,1220,32,29,24,99,385,299,363,298,132,114,74,63,34,92,41,0,0,25319711,20192037,11663262,13358315,1909,1012,720000,4180,198,118,3225,1015,2945,808,238,86,718,452,508
,111244,1735347822|28800|0,1979,1616,258,610,612,632,597,97,55,15,32,101,88,50,1247,37,30,25,98,373,308,336,294,134,120,76,64,31,93,37,0,0,23057519,20171316,12329900,13970674,6080,953,720000,4530,199,117,3325,1012,2877,839,253,88,722,463,1242
,111445,1735428084|28800|0,1979,1613,241,608,606,626,597,93,47,14,32,101,89,66,1212,41,32,29,98,372,297,335,297,123,108,75,66,43,94,54,0,0,20847847,19596487,11510652,13063606,18404,825,720000,4572,199,116,3062,981,2808,801,240,89,718,448,663
,111645,1735510726|28800|0,1980,1616,246,609,609,627,597,93,47,14,31,101,89,66,1248,37,32,29,98,367,299,333,298,152,109,75,67,46,94,56,0,0,19011588,22002256,12292215,14428022,13703,739,720000,4479,198,116,3282,996,2807,847,225,89,721,464,541
,111845,1735628891|28800|0,1980,1625,236,613,616,630,604,97,62,14,19,103,90,35,1255,40,34,22,98,384,296,335,297,147,120,77,67,27,95,30,0,0,19136735,21445660,12482007,14612955,39184,831,720000,4393,200,118,2958,1010,2754,852,261,91,719,466,3248
,112047,1735827642|28800|0,1983,1463,244,606,614,627,596,96,60,15,21,100,88,37,945,38,31,24,98,369,298,366,290,175,142,74,56,27,92,31,0,0,13121558,14157091,8320134,9516809,8965,4225,720000,2799,292,125,3077,746,2639,620,409,93,724,339,13881
