Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,76964,1717328563|28800|0,1993,1620,1647,609,592,614,587,108,59,16,29,97,84,43,1189,34,29,27,98,425,301,316,309,209,271,67,59,33,83,35,0,0,24026586,23653775,14392267,15585449,3331,1402134,720000,4113,198,121,3306,1033,2835,839,456,137,721,438,1012
,77164,1717414036|28800|0,1986,1644,371,617,600,620,598,105,47,15,30,99,86,67,1253,39,31,28,98,343,303,331,308,147,235,73,62,41,88,48,0,0,25297853,23736763,14809848,17011157,3804,1009790,720000,4075,198,109,3250,1091,3013,884,436,134,729,465,1034
,77364,1717508878|28800|0,1989,1638,741,609,591,612,587,107,54,15,32,97,84,55,1224,35,30,27,99,388,301,349,305,168,244,67,60,37,85,39,0,0,23912848,23424316,15386576,15995653,855,1143305,720000,4224,198,117,3496,1055,3009,865,457,134,722,452,632
,77565,1717589548|28800|0,1986,1672,264,614,600,617,595,106,47,15,31,100,86,66,1292,40,32,28,99,392,300,334,305,135,228,73,64,45,88,51,0,0,27177745,24757958,15155088,17228198,5831,668280,720000,4344,198,117,3289,1125,3074,899,438,130,723,480,441
,77765,1717689965|28800|0,1990,1631,643,609,597,620,593,107,55,15,31,98,85,54,1248,36,30,26,99,384,303,343,309,170,243,68,61,36,85,38,0,0,24735725,23382491,15217677,16807573,1024,1102902,720000,4174,198,116,3412,1095,2948,888,457,133,725,463,733
,77966,1717832440|28800|0,1987,1620,1180,610,598,626,592,104,61,15,28,99,85,34,1219,37,31,24,98,385,309,345,305,216,288,71,61,27,89,28,0,0,25698078,22963451,15035454,16432286,4544,1260163,720000,4154,198,122,3456,1044,2999,855,468,136,721,451,2182
,78166,1717938179|28800|0,1992,1639,2416,600,593,615,587,104,55,15,30,98,84,53,1255,35,29,25,98,402,303,335,308,146,251,69,60,33,85,37,0,0,26508049,23638647,15186723,16322600,1337,994216,720000,4145,199,119,3460,1100,3147,886,461,129,718,465,1150
,78367,1718038508|28800|0,1983,1643,1405,606,596,621,589,105,57,15,31,98,85,49,1251,35,31,27,99,366,309,345,306,140,251,69,62,34,86,38,0,0,25483742,23009751,14014168,15196532,1231,898474,720000,4469,198,117,3305,1096,3115,862,468,128,721,464,431
,78567,1718116081|28800|0,1981,1674,298,612,599,623,592,103,45,15,33,99,86,67,1324,40,32,28,99,390,304,313,308,140,234,73,66,44,89,58,0,0,25416621,25412489,15676189,17111763,5602,536857,720000,4328,199,115,3475,1144,2922,935,453,124,722,494,461
,78767,1718224830|28800|0,1986,1654,1017,607,595,618,589,104,55,14,28,98,85,50,1292,37,31,27,99,372,325,355,305,155,249,70,62,34,87,39,0,0,26171590,24361115,15761953,16880996,2425,872056,720000,4217,199,118,3636,1111,2936,907,463,128,720,481,897
,78968,1718365419|28800|0,1984,1595,311,615,597,623,596,104,60,15,32,99,86,36,1192,39,31,24,98,367,301,354,306,173,255,69,60,29,86,30,0,0,23817472,21510640,13118630,15124397,12416,1391085,720000,3891,198,120,3669,1032,3070,818,477,136,738,440,799
,79168,1718446889|28800|0,1986,1661,298,604,595,619,592,103,48,15,32,98,85,64,1269,38,31,27,98,378,302,338,308,174,237,72,63,40,89,50,0,0,29680658,21961487,13742373,15059766,12209,774678,720000,4588,199,114,3461,1090,2992,851,444,128,719,471,712
,79369,1718529196|28800|0,1987,1639,281,611,596,621,595,102,48,15,29,98,85,62,1255,38,30,27,98,379,303,364,306,154,244,70,61,43,86,49,0,0,29364073,22958130,14365082,15614675,9315,950093,720000,3917,198,117,3487,1101,3040,846,440,132,724,466,429
,79569,1718669253|28800|0,1986,1629,1114,616,597,629,595,104,58,15,33,99,86,38,1263,40,32,27,98,367,307,335,307,180,258,73,62,30,88,32,0,0,24866375,23594085,15762716,17423339,3218,1073845,720000,4058,198,119,3856,1076,2946,893,478,135,728,470,1376
,79769,1718790547|28800|0,1980,1645,1082,608,594,621,587,104,56,15,33,100,87,46,1280,36,31,27,98,386,309,340,305,158,246,69,61,35,86,37,0,0,25394950,22402170,14043078,15985315,27777,1212462,720000,3680,199,115,3523,1111,2872,881,457,135,720,476,1560
,79971,1718971339|28800|0,1980,1608,757,609,599,622,592,106,60,15,33,98,85,39,1237,38,32,24,98,384,305,341,306,162,266,72,60,29,87,31,0,0,27611440,22666418,15065251,15857463,35331,1833893,720000,4038,198,131,3389,1060,2914,844,521,141,725,459,3604
,80171,1719113694|28800|0,1985,1626,2409,612,598,619,591,104,59,16,32,97,84,41,1239,34,29,27,99,367,303,344,303,210,271,66,58,32,84,33,0,0,24806871,20892703,14739549,16803747,12319,1291614,720000,3650,198,120,3388,1061,2889,859,459,136,726,459,5473
,80372,1719248686|28800|0,1983,1639,2412,607,594,623,588,104,63,15,32,99,86,33,1281,36,32,24,99,365,303,349,306,185,266,70,62,28,86,29,0,0,28339079,24394306,14584486,16162549,8596,1051967,720000,4476,199,120,3450,1108,2950,879,469,134,726,477,1455
,80572,1719355492|28800|0,1987,1645,2410,598,583,613,579,104,57,16,33,97,84,45,1259,32,29,25,99,387,303,338,306,130,252,68,60,32,83,34,0,0,25772379,24124563,14310119,15321526,800,1067911,720000,4300,198,116,3334,1094,2876,866,472,132,722,467,1139
,80772,1719434866|28800|0,1983,1650,2385,609,589,621,591,103,46,15,33,99,86,67,1269,37,32,28,99,389,302,347,305,156,235,71,62,43,86,50,0,0,26320832,23694140,14551687,15954808,5579,878607,720000,4396,198,114,3619,1097,2910,877,441,132,732,471,263
,80973,1719561163|28800|0,1980,1614,2431,634,619,639,607,104,59,15,30,99,86,40,1232,39,32,26,99,354,306,333,309,153,255,72,61,31,87,33,0,0,25123316,22030967,14927357,17123534,30953,1774881,720000,4691,199,120,3131,1058,2831,871,479,140,721,457,14046
,81173,1719642692|28800|0,1985,1628,1986,606,586,614,593,104,47,15,30,99,86,67,1233,40,30,27,99,386,302,340,304,181,246,70,60,40,85,48,7,0,25654440,21390933,13801298,14358899,21856,1130962,720000,4178,199,115,3641,1078,3003,835,439,135,727,457,641
,81374,1719748562|28800|0,1981,1589,1439,610,591,616,593,103,51,14,31,98,85,59,1191,41,32,27,99,384,306,342,306,163,259,71,60,34,86,45,0,0,23473056,21401143,13154759,15541356,16417,1576304,720000,4186,198,119,4172,1025,3019,816,500,142,736,440,3274
,81574,1719872356|28800|0,1981,1591,2410,605,589,614,588,104,61,16,33,98,85,36,1214,36,31,25,99,401,301,341,304,179,257,69,59,29,87,31,0,0,24026888,22292663,14167191,15931705,5436,1526033,720000,4434,199,117,3432,1039,2703,835,460,140,725,450,844
,81774,1719951134|28800|0,1981,1585,2415,617,602,623,595,105,47,15,32,97,84,67,1174,36,30,28,99,382,323,344,305,154,233,69,59,37,86,51,0,0,25999562,22550344,13387414,14854037,6871,1534525,720000,4139,199,115,3567,1020,2942,800,436,140,723,433,17912
,81974,1720041545|28800|0,1981,1582,2236,613,606,623,594,105,51,16,32,97,84,55,1194,35,29,27,99,367,309,353,310,164,242,70,59,34,87,41,0,0,26949273,24257522,13484919,15932902,2109,1503344,720000,4550,199,117,3270,1075,2831,840,456,138,724,442,39578
,82175,1720147297|28800|0,1982,1650,1573,626,618,634,599,105,59,15,30,99,86,44,1282,37,32,26,99,382,317,351,316,171,253,69,62,31,87,34,0,0,29882413,22703970,15220526,16117658,12960,767247,720000,4653,199,120,3440,1124,2970,876,442,132,722,477,11060
,82375,1720269829|28800|0,1986,1584,1288,637,626,642,612,105,57,15,33,98,85,39,1209,40,31,28,99,414,318,350,306,188,268,71,60,32,87,35,0,0,29832118,23860934,15145598,16160757,56682,1421306,720000,4073,198,119,3360,1090,3022,850,471,141,722,448,35032
